,h,s,v,num
284720,20,173,131,81
284760,24,155,94,81
284761,26,147,92,81
284900,20,179,131,81
285032,20,127,145,81
285033,21,147,137,81
285034,16,173,136,81
285035,15,171,136,81
285066,21,176,149,81
285067,21,182,143,81
285120,17,147,149,81
285211,18,160,147,81
285212,17,203,146,81
285213,18,176,148,81
285214,17,182,140,81
285215,14,166,132,81
285216,14,155,133,81
285217,15,201,142,81
285236,11,204,131,81
285237,9,217,113,81
285438,20,163,133,80
285439,20,158,132,80
285440,14,162,131,80
285441,20,150,117,80
285442,18,150,143,80
285443,16,153,137,80
285444,17,152,144,80
285445,21,153,80,80
285446,23,129,113,80
285557,22,150,80,80
285558,24,157,91,80
285684,21,152,146,80
285685,20,152,149,80
285686,22,135,121,80
285735,29,133,96,80
285736,21,132,118,80
285895,21,180,140,80
285896,21,172,147,80
285897,19,153,143,80
285898,19,155,140,80
285899,19,152,144,80
285900,19,151,142,80
285901,22,160,147,80
285902,20,148,121,80
285903,21,167,142,80
286053,18,149,144,80
286054,21,128,141,80
286055,18,128,145,80
286056,20,146,143,80
286057,18,174,141,80
286058,17,193,132,80
286100,22,169,148,80
286166,18,146,147,80
286252,17,181,141,80
286278,21,171,136,80
286297,18,170,144,80
286298,16,201,138,80
286299,18,167,147,80
286319,8,220,117,80
286323,12,199,137,80
286324,11,207,122,80
286560,18,184,126,79
286561,18,188,121,79
286562,18,146,141,79
286563,18,179,127,79
286564,16,187,112,79
286565,21,140,135,79
286566,21,150,131,79
286567,21,127,90,79
286568,21,144,92,79
286569,22,132,122,79
286674,24,159,90,79
286767,21,163,149,79
286768,21,153,142,79
286769,22,134,145,79
286770,22,130,139,79
286807,29,134,95,79
286808,23,169,86,79
286809,16,169,124,79
286845,24,135,142,79
286916,21,175,143,79
286917,20,147,139,79
286918,20,152,146,79
286919,21,132,137,79
286920,20,145,135,79
286921,20,175,134,79
287034,19,132,145,79
287035,19,160,139,79
287036,19,155,143,79
287068,22,171,146,79
287096,26,128,135,79
287198,17,185,138,79
287199,15,193,136,79
287200,17,178,143,79
287201,18,171,148,79
287202,18,161,146,79
287203,16,189,147,79
287232,12,202,135,79
287233,11,218,123,79
287234,14,154,134,79
287236,20,147,116,79
287389,15,181,128,78
287390,20,140,122,78
287391,16,145,107,78
287392,21,146,84,78
287393,22,146,84,78
287394,22,147,109,78
287508,25,143,93,78
287617,22,157,149,78
287618,23,135,115,78
287673,23,169,95,78
287674,26,152,89,78
287675,32,133,75,78
287678,16,150,139,78
287679,15,150,136,78
287730,24,134,143,78
287826,21,175,144,78
287827,22,149,147,78
287828,21,171,148,78
287829,22,185,139,78
287830,22,167,147,78
287831,21,186,144,78
287832,19,181,128,78
287833,20,186,144,78
287834,18,195,140,78
287835,18,192,142,78
287836,19,127,144,78
287837,20,147,134,78
287838,21,173,140,78
288142,17,150,146,78
288292,18,189,144,78
288293,17,174,142,78
288294,15,195,135,78
288313,8,216,119,78
288318,9,219,112,78
288319,14,203,138,78
288663,21,133,136,77
288664,21,153,132,77
288665,23,129,115,77
288666,18,164,90,77
288667,21,151,83,77
288668,22,149,87,77
288669,21,132,87,77
288670,22,148,81,77
288671,20,157,117,77
288778,24,135,108,77
288779,20,148,79,77
288908,21,152,141,77
288909,19,133,142,77
288910,21,130,141,77
288911,22,139,134,77
288912,22,131,123,77
288956,29,136,94,77
288957,28,131,101,77
288958,23,171,88,77
288959,23,167,87,77
288960,29,141,74,77
288961,23,127,114,77
289016,24,133,144,77
289017,24,138,139,77
289018,22,137,140,77
289094,21,158,134,77
289095,21,180,139,77
289096,22,158,145,77
289097,22,188,137,77
289098,18,156,136,77
289099,20,149,137,77
289100,20,131,140,77
289101,19,146,143,77
289102,21,131,142,77
289103,21,168,141,77
289221,17,178,136,77
289222,17,173,137,77
289295,18,129,148,77
289370,21,163,130,77
289382,18,186,147,77
289383,15,205,128,77
289384,18,167,150,77
289385,17,173,143,77
289404,12,198,138,77
289405,11,225,111,77
289593,22,133,136,76
289594,23,128,134,76
289595,22,139,130,76
289596,20,139,121,76
289597,20,152,116,76
289598,21,142,111,76
289599,22,147,92,76
289843,19,158,139,76
289844,20,153,142,76
289884,29,130,98,76
289885,24,150,97,76
289886,16,179,131,76
289887,15,151,135,76
289947,24,127,149,76
290065,21,182,139,76
290066,21,172,145,76
290067,20,173,150,76
290068,20,183,142,76
290069,20,158,140,76
290070,19,138,144,76
290071,19,159,135,76
290207,18,166,135,76
290263,21,151,144,76
290394,15,175,130,76
290397,17,183,139,76
290437,18,169,148,76
290438,18,175,149,76
290439,17,177,144,76
290440,17,184,144,76
290441,19,163,150,76
290442,17,172,144,76
290443,16,187,149,76
290465,14,211,133,76
290774,16,185,113,75
290775,18,191,119,75
290776,15,171,133,75
290777,23,138,109,75
290778,19,142,117,75
290779,22,151,81,75
290869,23,146,91,75
290870,29,138,74,75
290873,32,129,77,75
290985,21,145,149,75
290986,22,132,145,75
290987,21,163,136,75
290988,24,145,132,75
290989,22,134,135,75
291027,28,133,100,75
291028,25,162,93,75
291030,15,183,127,75
291031,20,134,120,75
291149,20,167,133,75
291150,22,171,143,75
291151,21,168,144,75
291152,20,170,144,75
291153,20,188,144,75
291154,22,153,147,75
291155,19,165,131,75
291156,21,167,139,75
291157,19,142,122,75
291284,18,154,139,75
291285,17,176,135,75
291286,16,181,131,75
291287,16,171,134,75
291315,22,170,147,75
291379,18,131,146,75
291380,18,139,150,75
291488,18,187,146,75
291489,15,212,135,75
291490,17,181,144,75
291491,14,167,131,75
291492,14,158,134,75
291518,11,221,114,75
291519,14,156,132,75
291520,11,227,111,75
291733,16,155,135,74
291734,18,173,131,74
291735,20,175,130,74
291736,24,133,134,74
291737,16,188,111,74
291738,20,153,117,74
291739,21,134,116,74
291740,17,167,90,74
291741,19,146,119,74
291742,20,149,118,74
291743,19,145,114,74
291744,20,153,112,74
291859,26,133,94,74
291860,26,139,90,74
291861,25,140,80,74
291965,21,168,147,74
291966,20,167,145,74
291967,22,174,141,74
291968,22,170,138,74
291969,21,135,142,74
291970,23,127,130,74
291971,23,133,132,74
291972,22,155,128,74
292031,22,133,111,74
292032,20,146,112,74
292202,21,174,138,74
292203,20,156,134,74
292204,23,148,140,74
292205,20,174,141,74
292206,20,132,139,74
292207,19,137,141,74
292208,19,134,141,74
292209,20,176,133,74
292210,19,183,127,74
292376,18,151,142,74
292377,18,158,136,74
292378,21,127,145,74
292379,19,166,134,74
292380,16,184,136,74
292381,17,169,134,74
292382,17,171,133,74
292439,22,172,148,74
292512,17,143,150,74
292646,20,172,132,74
292659,18,184,141,74
292660,15,210,136,74
292661,18,175,144,74
292662,18,165,148,74
292690,14,206,124,74
292695,18,163,130,74
292994,20,127,139,73
292995,18,156,144,73
292996,24,128,132,73
292997,18,165,136,73
292998,21,155,117,73
292999,21,148,117,73
293000,16,147,106,73
293001,21,152,82,73
293002,21,141,94,73
293003,23,148,95,73
293004,23,144,92,73
293110,25,144,92,73
293212,21,161,149,73
293213,22,140,142,73
293214,22,147,139,73
293215,19,157,140,73
293216,22,130,143,73
293217,21,131,144,73
293218,22,135,144,73
293219,24,146,131,73
293220,22,160,126,73
293221,21,131,119,73
293265,27,142,97,73
293266,28,138,94,73
293267,27,137,78,73
293268,19,140,124,73
293401,22,183,141,73
293402,20,187,142,73
293403,21,151,147,73
293404,19,133,144,73
293405,22,156,147,73
293406,19,143,139,73
293407,22,148,148,73
293408,20,164,143,73
293533,21,131,140,73
293534,18,148,141,73
293535,18,151,137,73
293536,15,182,133,73
293537,18,142,149,73
293730,19,151,147,73
293731,16,200,139,73
293732,16,190,145,73
293753,14,216,149,73
293754,14,171,128,73
293963,19,167,134,72
293964,20,148,138,72
293965,18,185,123,72
293966,17,173,136,72
293967,24,127,131,72
293968,20,148,119,72
293969,20,134,122,72
